"Path","LineNumber","Content"
"D:\aaaempire-reputation-ai\app\[locale]\error.tsx","24","""button"""
"D:\aaaempire-reputation-ai\app\[locale]\error.tsx","28","'retry'"
"D:\aaaempire-reputation-ai\app\[locale]\layout.tsx","39","'website'"
"D:\aaaempire-reputation-ai\app\[locale]\page.tsx","42","'title'"
"D:\aaaempire-reputation-ai\app\[locale]\page.tsx","43","'description'"
"D:\aaaempire-reputation-ai\app\[locale]\page.tsx","64","'website'"
"D:\aaaempire-reputation-ai\app\[locale]\page.tsx","89","'title'"
"D:\aaaempire-reputation-ai\app\[locale]\page.tsx","90","'description'"
"D:\aaaempire-reputation-ai\app\[locale]\about\page.tsx","50","""w-5 h-5 text-[#2563eb]"""
"D:\aaaempire-reputation-ai\app\[locale]\about\page.tsx","88","""w-4 h-4 text-[#2563eb]"""
"D:\aaaempire-reputation-ai\app\[locale]\about\page.tsx","102","""relative"""
"D:\aaaempire-reputation-ai\app\[locale]\about\page.tsx","125","""w-4 h-4 text-[#2563eb]"""
"D:\aaaempire-reputation-ai\app\[locale]\about\page.tsx","161","""w-5 h-5 text-[#2563eb]"""
"D:\aaaempire-reputation-ai\app\[locale]\api\page.tsx","76","""w-5 h-5 text-[#2563eb]"""
"D:\aaaempire-reputation-ai\app\[locale]\api\page.tsx","90","""w-5 h-5 text-[#2563eb]"""
"D:\aaaempire-reputation-ai\app\[locale]\api\page.tsx","114","""w-5 h-5 text-[#2563eb]"""
"D:\aaaempire-reputation-ai\app\[locale]\api\page.tsx","130","""w-5 h-5 text-[#2563eb]"""
"D:\aaaempire-reputation-ai\app\[locale]\api\page.tsx","142","""w-5 h-5 text-[#2563eb]"""
"D:\aaaempire-reputation-ai\app\[locale]\api\page.tsx","149","'border-b border-white/5'"
"D:\aaaempire-reputation-ai\app\[locale]\auth\callback\page.tsx","56","'implicit'"
"D:\aaaempire-reputation-ai\app\[locale]\auth\callback\page.tsx","109","'magiclink'"
"D:\aaaempire-reputation-ai\app\[locale]\auth\callback\page.tsx","110","'email'"
"D:\aaaempire-reputation-ai\app\[locale]\auth\callback\page.tsx","111","'signup'"
"D:\aaaempire-reputation-ai\app\[locale]\auth\callback\page.tsx","112","'recovery'"
"D:\aaaempire-reputation-ai\app\[locale]\auth\callback\page.tsx","114","'invite'"
"D:\aaaempire-reputation-ai\app\[locale]\auth\callback\page.tsx","116","'email'"
"D:\aaaempire-reputation-ai\app\[locale]\auth\callback\page.tsx","219","""animate-spin shadow-sm"""
"D:\aaaempire-reputation-ai\app\[locale]\banano-pin-reset\page.tsx","15","'token'"
"D:\aaaempire-reputation-ai\app\[locale]\banano-pin-reset\page.tsx","93","""password"""
"D:\aaaempire-reputation-ai\app\[locale]\banano-pin-reset\page.tsx","94","""numeric"""
"D:\aaaempire-reputation-ai\app\[locale]\banano-pin-reset\page.tsx","111","""password"""
"D:\aaaempire-reputation-ai\app\[locale]\banano-pin-reset\page.tsx","112","""numeric"""
"D:\aaaempire-reputation-ai\app\[locale]\banano-pin-reset\page.tsx","124","""submit"""
"D:\aaaempire-reputation-ai\app\[locale]\banano-pin-reset\page.tsx","128","""w-4 h-4 animate-spin"""
"D:\aaaempire-reputation-ai\app\[locale]\blog\page.tsx","38","'posts'"
"D:\aaaempire-reputation-ai\app\[locale]\blog\page.tsx","56","""button"""
"D:\aaaempire-reputation-ai\app\[locale]\blog\[slug]\page.tsx","34","'product'"
"D:\aaaempire-reputation-ai\app\[locale]\blog\[slug]\page.tsx","35","'trends'"
"D:\aaaempire-reputation-ai\app\[locale]\blog\[slug]\page.tsx","36","'regulation'"
"D:\aaaempire-reputation-ai\app\[locale]\blog\[slug]\page.tsx","37","'Guide pratique'"
"D:\aaaempire-reputation-ai\app\[locale]\blog\[slug]\page.tsx","38","""Cas d'usage"""
"D:\aaaempire-reputation-ai\app\[locale]\blog\[slug]\page.tsx","39","'SEO Local'"
"D:\aaaempire-reputation-ai\app\[locale]\blog\[slug]\page.tsx","40","'cybersecurity'"
